RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599828779658	 	3.3.1
USER	scenarioOne	138	START	1599828887648	1599828887648
REQUEST	138		openMainPage	1599828887649	1599828887750	OK	 
USER	scenarioOne	138	END	1599828887648	1599828887752
USER	scenarioOne	139	START	1599828888637	1599828888637
USER	scenarioTwo	140	START	1599828888637	1599828888637
REQUEST	139		openMainPage	1599828888638	1599828888741	OK	 
USER	scenarioOne	139	END	1599828888637	1599828888743
REQUEST	140		makeAnOrder	1599828888639	1599828888742	OK	 
USER	scenarioTwo	140	END	1599828888637	1599828888746
USER	scenarioOne	141	START	1599828889648	1599828889648
REQUEST	141		openMainPage	1599828889649	1599828889751	OK	 
USER	scenarioOne	141	END	1599828889648	1599828889753
USER	scenarioOne	142	START	1599828890638	1599828890638
REQUEST	142		openMainPage	1599828890639	1599828890738	OK	 
USER	scenarioOne	142	END	1599828890638	1599828890740
USER	scenarioOne	143	START	1599828891648	1599828891648
USER	scenarioTwo	144	START	1599828891648	1599828891648
REQUEST	143		openMainPage	1599828891649	1599828891751	OK	 
USER	scenarioOne	143	END	1599828891648	1599828891753
REQUEST	144		makeAnOrder	1599828891649	1599828891753	OK	 
USER	scenarioTwo	144	END	1599828891648	1599828891757
USER	scenarioOne	145	START	1599828892637	1599828892637
REQUEST	145		openMainPage	1599828892638	1599828892738	OK	 
USER	scenarioOne	145	END	1599828892637	1599828892741
USER	scenarioOne	146	START	1599828893647	1599828893647
REQUEST	146		openMainPage	1599828893648	1599828893750	OK	 
USER	scenarioOne	146	END	1599828893647	1599828893752
USER	scenarioOne	147	START	1599828894648	1599828894648
REQUEST	147		openMainPage	1599828894649	1599828894749	OK	 
USER	scenarioOne	147	END	1599828894648	1599828894751
USER	scenarioOne	148	START	1599828895637	1599828895637
USER	scenarioTwo	149	START	1599828895637	1599828895637
REQUEST	148		openMainPage	1599828895638	1599828895739	OK	 
USER	scenarioOne	148	END	1599828895637	1599828895741
REQUEST	149		makeAnOrder	1599828895638	1599828895742	OK	 
USER	scenarioTwo	149	END	1599828895637	1599828895745
USER	scenarioOne	150	START	1599828896647	1599828896647
REQUEST	150		openMainPage	1599828896649	1599828896751	OK	 
USER	scenarioOne	150	END	1599828896647	1599828896753
USER	scenarioOne	151	START	1599828897637	1599828897637
REQUEST	151		openMainPage	1599828897638	1599828897738	OK	 
USER	scenarioOne	151	END	1599828897637	1599828897740
USER	scenarioTwo	153	START	1599828898637	1599828898637
USER	scenarioOne	152	START	1599828898647	1599828898647
REQUEST	153		makeAnOrder	1599828898639	1599828898742	OK	 
USER	scenarioTwo	153	END	1599828898637	1599828898745
REQUEST	152		openMainPage	1599828898648	1599828898746	OK	 
USER	scenarioOne	152	END	1599828898647	1599828898747
USER	scenarioOne	154	START	1599828899647	1599828899647
REQUEST	154		openMainPage	1599828899649	1599828899753	OK	 
USER	scenarioOne	154	END	1599828899647	1599828899755
USER	scenarioOne	155	START	1599828900647	1599828900647
REQUEST	155		openMainPage	1599828900649	1599828900748	OK	 
USER	scenarioOne	155	END	1599828900647	1599828900750
USER	scenarioOne	156	START	1599828901638	1599828901638
REQUEST	156		openMainPage	1599828901638	1599828901738	OK	 
USER	scenarioOne	156	END	1599828901638	1599828901740
USER	scenarioTwo	158	START	1599828902638	1599828902638
USER	scenarioOne	157	START	1599828902647	1599828902647
REQUEST	158		makeAnOrder	1599828902639	1599828902742	OK	 
USER	scenarioTwo	158	END	1599828902638	1599828902746
REQUEST	157		openMainPage	1599828902648	1599828902747	OK	 
USER	scenarioOne	157	END	1599828902647	1599828902750
USER	scenarioOne	159	START	1599828903648	1599828903648
REQUEST	159		openMainPage	1599828903649	1599828903755	OK	 
USER	scenarioOne	159	END	1599828903648	1599828903757
USER	scenarioOne	160	START	1599828904637	1599828904637
REQUEST	160		openMainPage	1599828904638	1599828904738	OK	 
USER	scenarioOne	160	END	1599828904637	1599828904740
USER	scenarioOne	161	START	1599828905647	1599828905647
REQUEST	161		openMainPage	1599828905648	1599828905750	OK	 
USER	scenarioOne	161	END	1599828905647	1599828905752
USER	scenarioTwo	163	START	1599828906638	1599828906638
USER	scenarioOne	162	START	1599828906648	1599828906648
REQUEST	163		makeAnOrder	1599828906639	1599828906742	OK	 
USER	scenarioTwo	163	END	1599828906638	1599828906745
REQUEST	162		openMainPage	1599828906649	1599828906747	OK	 
USER	scenarioOne	162	END	1599828906648	1599828906749
USER	scenarioOne	164	START	1599828907637	1599828907637
REQUEST	164		openMainPage	1599828907638	1599828907738	OK	 
USER	scenarioOne	164	END	1599828907637	1599828907741
USER	scenarioOne	165	START	1599828908647	1599828908647
